α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.8,0.1,80.2158273381295,78.560460219541,81.08084395517983,geometric,590,0.05,true,0.0,1
0.7,0.1,81.65467625899281,81.18099731751836,81.96273745151238,arithmetic,590,0.05,true,0.0,1
0.8,0.1,75.17985611510791,73.31705130349566,78.6531985978378,harmonic,590,0.05,true,0.0,1
0.6,0.1,81.65467625899281,81.1598252307975,82.08513708513709,L^2,590,0.05,true,0.0,1
0.6,0.25,82.91366906474819,82.21993309033518,82.60328963513656,maximum,590,0.05,true,0.0,1
0.6,0.0,71.94244604316546,70.17939477229291,71.60261172352749,standard,590,0.05,true,0.0,1
0.9,0.0,67.44604316546763,67.81887642109096,69.23426989299053,p0.5,590,0.05,true,0.0,1
0.9,0.0,50.89928057553957,48.27567841363109,66.87801127254941,SAGE_Max,590,0.05,true,0.0,1
0.9,0.0,60.07194244604317,61.5084110027958,62.981480874044905,SAGE_GCN,590,0.05,true,0.0,1
0.3,0.55,82.57575757575758,82.38240082286474,82.71683712833475,geometric,590,0.1,true,0.0,1
0.4,0.4,83.33333333333334,82.79233001993317,82.96475289851651,arithmetic,590,0.1,true,0.0,1
0.4,0.55,82.76515151515152,82.00862420333262,82.28680391120548,harmonic,590,0.1,true,0.0,1
0.3,0.4,82.95454545454545,82.42374027634342,82.76131887434973,L^2,590,0.1,true,0.0,1
0.3,0.4,83.52272727272727,83.01288231709837,83.0270674865649,maximum,590,0.1,true,0.0,1
0.5,0.0,77.65151515151516,74.99989721853285,75.95242033076013,standard,590,0.1,true,0.0,1
0.9,0.0,75.0,75.68579282092365,77.826412344269,p0.5,590,0.1,true,0.0,1
0.9,0.0,67.42424242424242,62.66340827378001,66.91163211118743,SAGE_Max,590,0.1,true,0.0,1
0.9,0.0,66.85606060606061,69.37418970780253,69.24957360652995,SAGE_GCN,590,0.1,true,0.0,1
0.7,0.1,85.28225806451613,84.72155792895242,84.95856343932216,geometric,590,0.15,true,0.0,1
0.4,0.55,84.87903225806451,83.5162568875343,84.24520955117781,arithmetic,590,0.15,true,0.0,1
0.7,0.25,84.87903225806451,84.49268897486716,85.25466420210141,harmonic,590,0.15,true,0.0,1
0.5,0.4,85.28225806451613,83.92111518712943,84.74867421329016,L^2,590,0.15,true,0.0,1
0.5,0.4,85.88709677419355,84.5106519123144,85.46610954358233,maximum,590,0.15,true,0.0,1
0.7,0.0,81.65322580645162,78.68474339716663,83.28409033981038,standard,590,0.15,true,0.0,1
0.9,0.0,77.01612903225806,76.99926948134306,78.38375136682649,p0.5,590,0.15,true,0.0,1
0.9,0.0,73.38709677419355,70.48168177082162,71.73447531652806,SAGE_Max,590,0.15,true,0.0,1
0.9,0.0,74.19354838709677,68.9935179805358,76.69568405989835,SAGE_GCN,590,0.15,true,0.0,1
0.5,0.4,84.1880341880342,83.54105117939905,83.01555521122465,geometric,590,0.2,true,0.0,1
0.3,0.4,84.61538461538461,83.79605592729365,83.23675625862629,arithmetic,590,0.2,true,0.0,1
0.4,0.55,83.76068376068376,83.0308470977664,82.551355109057,harmonic,590,0.2,true,0.0,1
0.3,0.4,84.4017094017094,83.54095388647731,83.00782300549949,L^2,590,0.2,true,0.0,1
0.5,0.4,83.76068376068376,82.51456210446806,82.10975018231528,maximum,590,0.2,true,0.0,1
0.7,0.0,77.77777777777779,73.20353794964282,77.15833040125494,standard,590,0.2,true,0.0,1
0.9,0.0,77.56410256410257,77.04719660249235,78.72942935442937,p0.5,590,0.2,true,0.0,1
0.9,0.0,69.44444444444444,65.09811604676098,64.8508681078305,SAGE_Max,590,0.2,true,0.0,1
0.9,0.0,60.256410256410255,63.377367898329865,55.764455119855825,SAGE_GCN,590,0.2,true,0.0,1
0.3,0.55,80.93525179856115,79.4621904691229,79.64491569458623,geometric,590,0.05,true,0.0,2
0.7,0.25,83.99280575539568,83.00198609397825,82.63331764669765,arithmetic,590,0.05,true,0.0,2
0.7,0.25,79.67625899280576,78.49167326459168,79.49265159070784,harmonic,590,0.05,true,0.0,2
0.4,0.4,83.63309352517986,82.38295952667583,81.91907112495346,L^2,590,0.05,true,0.0,2
0.7,0.25,82.55395683453237,79.6023614530887,81.45813096431273,maximum,590,0.05,true,0.0,2
0.7,0.0,74.46043165467626,71.74735342639352,72.32379349937935,standard,590,0.05,true,0.0,2
0.9,0.0,69.96402877697841,70.20331963142593,70.75609507920909,p0.5,590,0.05,true,0.0,2
0.9,0.0,52.69784172661871,50.81527863026775,58.82648139451734,SAGE_Max,590,0.05,true,0.0,2
0.9,0.0,51.2589928057554,64.3091715778848,61.257988520420085,SAGE_GCN,590,0.05,true,0.0,2
0.4,0.55,82.38636363636364,81.78476626652234,82.64171709471154,geometric,590,0.1,true,0.0,2
0.4,0.55,83.33333333333334,81.87114624758817,81.87531377975615,arithmetic,590,0.1,true,0.0,2
0.4,0.55,80.87121212121212,80.26600998298112,82.2755692415265,harmonic,590,0.1,true,0.0,2
0.4,0.55,83.52272727272727,82.20009361600923,82.16751715421188,L^2,590,0.1,true,0.0,2
0.5,0.4,84.0909090909091,82.7457864589032,82.69174929222596,maximum,590,0.1,true,0.0,2
