α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.8,0.1,87.65541740674956,87.7009377398166,87.99845332867133,geometric,3560,0.05,true,0.0,1
0.7,0.25,88.39550029603316,88.42327128715421,88.65077800071688,arithmetic,3560,0.05,true,0.0,1
0.7,0.25,87.62581409117821,87.67896884352642,88.02715118313168,harmonic,3560,0.05,true,0.0,1
0.7,0.25,88.45470692717583,88.4786102256459,88.71557695167579,L^2,3560,0.05,true,0.0,1
0.7,0.1,88.51391355831854,88.54474821163508,88.75860773531232,maximum,3560,0.05,true,0.0,1
0.9,0.0,83.27412670219064,83.20958447315957,83.92968837879448,standard,3560,0.05,true,0.0,1
0.9,0.0,81.02427471876851,81.02291429531017,81.30837790243622,p0.5,3560,0.05,true,0.0,1
0.9,0.0,68.85731201894613,68.75605361950818,73.62179303839861,SAGE_Max,3560,0.05,true,0.0,1
0.9,0.0,82.08999407933688,82.14163760240616,83.47686904432292,SAGE_GCN,3560,0.05,true,0.0,1
0.8,0.1,90.71875,90.67548722499362,90.96989564110814,geometric,3560,0.1,true,0.0,1
0.8,0.1,91.125,91.08935752870835,91.31742739256168,arithmetic,3560,0.1,true,0.0,1
0.7,0.25,91.0,90.95823610188903,91.26373611136826,harmonic,3560,0.1,true,0.0,1
0.7,0.25,91.0625,91.02769695201228,91.25396885526791,L^2,3560,0.1,true,0.0,1
0.7,0.1,91.28125,91.25855946178656,91.41939257090186,maximum,3560,0.1,true,0.0,1
0.9,0.0,88.53125,88.44357817016682,89.0823083130583,standard,3560,0.1,true,0.0,1
0.9,0.0,88.40625,88.3689332546139,88.45688362551437,p0.5,3560,0.1,true,0.0,1
0.9,0.0,76.40625,76.30401179753687,78.04399226092555,SAGE_Max,3560,0.1,true,0.0,1
0.9,0.0,83.3125,83.2995806495827,84.32529808715074,SAGE_GCN,3560,0.1,true,0.0,1
0.4,0.55,90.96624751819988,90.94406744625263,91.29232722820349,geometric,3560,0.15,true,0.0,1
0.3,0.4,90.70152217074785,90.67449790398608,90.98771661468874,arithmetic,3560,0.15,true,0.0,1
0.8,0.1,90.93315684976837,90.91019897046364,91.75737191283159,harmonic,3560,0.15,true,0.0,1
