α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial,ratio
0.3,0.25,54.55927,56.64894,54.78336,geometric,700,0.06,TRUE,0,1,2.0
0.3,0.1,58.96657,58.9539,55.32796,arithmetic,700,0.06,TRUE,0,1,2.0
0.3,0.4,47.11246,55.58511,53.13445,harmonic,700,0.06,TRUE,0,1,2.0
0.3,0.1,59.42249,57.0922,54.32064,L^2,700,0.06,TRUE,0,1,2.0
0.3,0.1,59.87842,58.51064,55.4245,maximum,700,0.06,TRUE,0,1,2.0
0.3,0.0,63.22188,46.09929,54.23749,standard,700,0.06,TRUE,0,1,2.0
0.9,0.0,36.76292,45.92199,53.95832,p0.9,700,0.06,TRUE,0,1,2.0
0.3,0.1,63.73626,65.47619,60.54777,geometric,700,0.09,TRUE,0,1,2.0
0.3,0.1,65.14914,65.84249,61.01522,arithmetic,700,0.09,TRUE,0,1,2.0
0.3,0.1,61.53846,65.65934,60.37981,harmonic,700,0.09,TRUE,0,1,2.0
0.3,0.1,67.34694,66.48352,62.22178,L^2,700,0.09,TRUE,0,1,2.0
0.3,0.1,68.28885,67.49084,63.13521,maximum,700,0.09,TRUE,0,1,2.0
0.6,0.0,62.48038,40.56777,82.17277,standard,700,0.09,TRUE,0,1,2.0
0.9,0.0,35.61224,47.52747,53.34063,p0.9,700,0.09,TRUE,0,1,2.0
0.3,0.1,68.99351,68.93939,64.63698,geometric,700,0.12,TRUE,0,1,2.0
0.3,0.1,67.37013,69.12879,63.81505,arithmetic,700,0.12,TRUE,0,1,2.0
0.3,0.25,49.35065,58.80682,57.63975,harmonic,700,0.12,TRUE,0,1,2.0
0.3,0.1,68.50649,68.56061,63.79143,L^2,700,0.12,TRUE,0,1,2.0
0.3,0.1,68.34416,69.03409,64.10862,maximum,700,0.12,TRUE,0,1,2.0
0.5,0.0,65.58442,44.03409,74.04522,standard,700,0.12,TRUE,0,1,2.0
0.9,0.0,35.84416,49.24242,55.30122,p0.9,700,0.12,TRUE,0,1,2.0
0.3,0.1,70.08403,69.01961,65.38064,geometric,700,0.15,TRUE,0,1,2.0
0.3,0.1,64.53782,67.2549,63.9745,arithmetic,700,0.15,TRUE,0,1,2.0
0.3,0.25,46.72269,58.62745,59.7956,harmonic,700,0.15,TRUE,0,1,2.0
0.3,0.1,65.88235,67.15686,63.93716,L^2,700,0.15,TRUE,0,1,2.0
0.3,0.1,65.71429,68.33333,65.16208,maximum,700,0.15,TRUE,0,1,2.0
0.2,0.0,69.07563,50.39216,67.97222,standard,700,0.15,TRUE,0,1,2.0
0.7,0.0,35.924369999999996,46.76471,55.38649,p0.9,700,0.15,TRUE,0,1,2.0
0.3,0.1,75.78397,75.10163,70.22561,geometric,700,0.18,TRUE,0,1,2.0
0.3,0.1,69.5122,71.95122,66.58459,arithmetic,700,0.18,TRUE,0,1,2.0
0.7,0.25,56.79443,66.76829,63.60221,harmonic,700,0.18,TRUE,0,1,2.0
0.3,0.1,71.42857,73.27236,67.84969,L^2,700,0.18,TRUE,0,1,2.0
0.3,0.1,70.90592,72.96748,67.69803,maximum,700,0.18,TRUE,0,1,2.0
0.1,0.0,73.17073,55.89431,78.77459,standard,700,0.18,TRUE,0,1,2.0
0.7,0.0,36.01045,48.78049,54.67807,p0.9,700,0.18,TRUE,0,1,2.0
0.3,0.1,74.14105,73.52321,68.85326,geometric,700,0.21,TRUE,0,1,2.0
0.3,0.1,72.33273,72.36287,67.35439,arithmetic,700,0.21,TRUE,0,1,2.0
