method_name,acc,rec,prec,trial,ratio,percentage_of_known_labels
SAGE_GCN,57.14286,100,57.14286,1,2,0.06
SAGE_GCN,57.14286,100,57.14286,1,2,0.09
SAGE_GCN,57.62987,50.85227,78.71126,1,2,0.12
SAGE_GCN,57.14286,100,57.14286,1,2,0.15
SAGE_GCN,58.36237,54.26829,38.47037,1,2,0.18
SAGE_GCN,29.29476,53.16456,21.4202,1,2,0.21
SAGE_GCN,57.44681,50.53191,78.65854,2,2,0.06
SAGE_GCN,70.48666,73.62637,72.76593,2,2,0.09
SAGE_GCN,57.14286,100,57.14286,2,2,0.12
SAGE_GCN,14.28571,100,14.28571,2,2,0.15
SAGE_GCN,14.28571,100,14.28571,2,2,0.18
SAGE_GCN,14.28571,100,14.28571,2,2,0.21
SAGE_GCN,57.14286,50,28.65854,3,2,0.06
SAGE_GCN,14.28571,100,14.28571,3,2,0.09
SAGE_GCN,75.32468,81.81818,78.54419,3,2,0.12
SAGE_GCN,57.14286,100,57.14286,3,2,0.15
SAGE_GCN,14.28571,100,14.28571,3,2,0.18
SAGE_GCN,14.28571,100,14.28571,3,2,0.21
SAGE_GCN,14.28571,100,14.28571,4,2,0.06
SAGE_GCN,57.14286,100,57.14286,4,2,0.09
SAGE_GCN,57.14286,100,57.14286,4,2,0.12
SAGE_GCN,14.28571,100,14.28571,4,2,0.15
SAGE_GCN,57.14286,100,57.14286,4,2,0.18
SAGE_GCN,57.14286,100,57.14286,4,2,0.21
SAGE_GCN,57.14286,100,57.14286,5,2,0.06
SAGE_GCN,58.71272,52.74725,70.78667,5,2,0.09
SAGE_GCN,57.62987,51.70455,44.0429,5,2,0.12
SAGE_GCN,57.31092,50.58824,33.32619,5,2,0.15
SAGE_GCN,57.14286,100,57.14286,5,2,0.18
SAGE_GCN,14.28571,100,14.28571,5,2,0.21
SAGE_GCN,14.28571,100,14.28571,1,2.5,0.06
SAGE_GCN,79.74882,89.56044,79.96145,1,2.5,0.09
SAGE_GCN,29.54545,53.40909,21.52967,1,2.5,0.12
SAGE_GCN,57.14286,100,57.14286,1,2.5,0.15
SAGE_GCN,61.14983,64.02439,46.14248,1,2.5,0.18
SAGE_GCN,57.14286,100,57.14286,1,2.5,0.21
