α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.4,0.55,69.47280613947281,69.4728061394728,70.82633778051834,geometric,60000,0.001,true,0.0,1
0.4,0.55,70.72572572572572,70.72572572572572,71.54561151682246,arithmetic,60000,0.001,true,0.0,1
0.4,0.55,69.09409409409409,69.09409409409409,70.627497571086,harmonic,60000,0.001,true,0.0,1
0.4,0.55,71.2328995662329,71.23289956623292,71.86195905503241,L^2,60000,0.001,true,0.0,1
0.7,0.25,69.79312645979313,69.79312645979313,70.56781289835719,maximum,60000,0.001,true,0.0,1
0.9,0.0,69.7947947947948,69.7947947947948,70.68053607422938,standard,60000,0.001,true,0.0,1
0.9,0.0,38.82382382382382,38.82382382382382,67.522186865663,p0.5,60000,0.001,true,0.0,1
0.9,0.0,60.503837170503836,60.503837170503836,62.20549581020573,SAGE_Max,60000,0.001,true,0.0,1
0.9,0.0,67.19052385719053,67.19052385719053,67.76032503022944,SAGE_GCN,60000,0.001,true,0.0,1
0.7,0.25,75.69541959210966,75.69541959210966,75.68547620805164,geometric,60000,0.003,true,0.0,1
0.7,0.25,76.33233032430626,76.33233032430627,76.21825728568108,arithmetic,60000,0.003,true,0.0,1
0.4,0.55,75.85088599130727,75.85088599130727,75.71888382293372,harmonic,60000,0.003,true,0.0,1
0.7,0.25,76.5212303577399,76.5212303577399,76.35369087363044,L^2,60000,0.003,true,0.0,1
0.5,0.4,76.24540287529254,76.24540287529254,75.97906638668668,maximum,60000,0.003,true,0.0,1
0.9,0.0,75.29087261785357,75.29087261785357,74.99445390132527,standard,60000,0.003,true,0.0,1
0.9,0.0,48.23303243062521,48.23303243062521,66.27131930609067,p0.5,60000,0.003,true,0.0,1
0.9,0.0,69.02708124373119,69.02708124373119,69.35502846691477,SAGE_Max,60000,0.003,true,0.0,1
0.9,0.0,74.00200601805416,74.00200601805416,74.43009762808445,SAGE_GCN,60000,0.003,true,0.0,1
0.4,0.55,76.57286432160804,76.57286432160804,76.58612153016024,geometric,60000,0.005,true,0.0,1
0.4,0.55,76.96147403685092,76.96147403685092,76.80849726855395,arithmetic,60000,0.005,true,0.0,1
0.4,0.55,76.50251256281408,76.50251256281408,76.56565487016577,harmonic,60000,0.005,true,0.0,1
0.8,0.1,76.67671691792295,76.67671691792293,76.58319263499207,L^2,60000,0.005,true,0.0,1
0.7,0.25,76.52596314907872,76.52596314907873,75.9286422516335,maximum,60000,0.005,true,0.0,1
0.9,0.0,75.48241206030151,75.48241206030151,75.49194476294534,standard,60000,0.005,true,0.0,1
0.9,0.0,53.777219430485765,53.77721943048576,67.20929474743748,p0.5,60000,0.005,true,0.0,1
0.9,0.0,71.93802345058626,71.93802345058626,71.99572634332925,SAGE_Max,60000,0.005,true,0.0,1
0.9,0.0,73.77554438860972,73.7755443886097,74.14370503405554,SAGE_GCN,60000,0.005,true,0.0,1
0.4,0.55,78.37529372272574,78.37529372272574,78.10495771722327,geometric,60000,0.007,true,0.0,1
0.4,0.55,77.92212151728768,77.92212151728768,77.47013018976297,arithmetic,60000,0.007,true,0.0,1
0.4,0.55,78.37865055387714,78.37865055387714,78.12364684594108,harmonic,60000,0.007,true,0.0,1
0.5,0.4,78.11346089291709,78.11346089291708,77.74199170348689,L^2,60000,0.007,true,0.0,1
0.4,0.55,77.05605908022827,77.05605908022827,76.46573921860254,maximum,60000,0.007,true,0.0,1
0.9,0.0,78.19066800939912,78.19066800939913,77.87271506493184,standard,60000,0.007,true,0.0,1
0.9,0.0,67.11816045652904,67.11816045652903,71.62915886005393,p0.5,60000,0.007,true,0.0,1
0.9,0.0,71.63141993957703,71.63141993957703,72.19584181141582,SAGE_Max,60000,0.007,true,0.0,1
0.9,0.0,77.35649546827794,77.35649546827794,77.8087778658223,SAGE_GCN,60000,0.007,true,0.0,1
0.4,0.55,79.28523377060208,79.28523377060209,79.05018581377574,geometric,60000,0.009,true,0.0,1
0.7,0.25,79.25496131853347,79.25496131853347,78.91879223966703,arithmetic,60000,0.009,true,0.0,1
0.4,0.55,79.24655230406997,79.24655230406997,79.03965510098654,harmonic,60000,0.009,true,0.0,1
0.7,0.25,79.02455432223343,79.02455432223344,78.6403681791087,L^2,60000,0.009,true,0.0,1
0.7,0.25,78.25428859737639,78.25428859737637,77.59894077956415,maximum,60000,0.009,true,0.0,1
0.9,0.0,78.42246888664648,78.42246888664648,78.14678483146672,standard,60000,0.009,true,0.0,1
0.9,0.0,70.81062899428187,70.81062899428187,73.1805930118119,p0.5,60000,0.009,true,0.0,1
0.9,0.0,71.50521358896738,71.50521358896737,72.70175397758848,SAGE_Max,60000,0.009,true,0.0,1
0.9,0.0,76.04776320215271,76.04776320215272,76.39905563116687,SAGE_GCN,60000,0.009,true,0.0,1
0.4,0.55,69.33266599933266,69.33266599933268,69.94409524169718,geometric,60000,0.001,true,0.0,2
0.8,0.1,66.70837504170838,66.70837504170836,68.16007214713953,arithmetic,60000,0.001,true,0.0,2
0.4,0.55,68.85385385385385,68.85385385385386,69.48098600714904,harmonic,60000,0.001,true,0.0,2
0.4,0.55,70.91424758091425,70.91424758091425,71.54540287175315,L^2,60000,0.001,true,0.0,2
0.5,0.4,70.57557557557558,70.57557557557558,71.25362398246415,maximum,60000,0.001,true,0.0,2
0.9,0.0,69.8048048048048,69.8048048048048,70.31690419560313,standard,60000,0.001,true,0.0,2
0.9,0.0,32.97797797797798,32.977977977977986,63.34575514250558,p0.5,60000,0.001,true,0.0,2
0.9,0.0,60.08508508508509,60.085085085085076,62.4347291052999,SAGE_Max,60000,0.001,true,0.0,2
0.9,0.0,66.84684684684684,66.84684684684684,68.62028713741621,SAGE_GCN,60000,0.001,true,0.0,2
0.4,0.55,76.33065864259446,76.33065864259446,76.03980172354244,geometric,60000,0.003,true,0.0,2
0.5,0.4,76.2119692410565,76.2119692410565,75.89241950046123,arithmetic,60000,0.003,true,0.0,2
0.4,0.55,76.27883650952857,76.27883650952857,75.98675105757354,harmonic,60000,0.003,true,0.0,2
0.7,0.25,76.42092945503177,76.42092945503177,76.19628627259218,L^2,60000,0.003,true,0.0,2
0.3,0.55,75.85757271815446,75.85757271815446,75.53192308134217,maximum,60000,0.003,true,0.0,2
0.9,0.0,75.20561685055166,75.20561685055165,74.92915795117172,standard,60000,0.003,true,0.0,2
0.9,0.0,53.3032430625209,53.3032430625209,66.36463035219161,p0.5,60000,0.003,true,0.0,2
0.9,0.0,66.24205951186894,66.24205951186894,68.06876065626338,SAGE_Max,60000,0.003,true,0.0,2
0.9,0.0,73.9485122032765,73.94851220327648,74.09529632033703,SAGE_GCN,60000,0.003,true,0.0,2
0.4,0.55,77.9463986599665,77.9463986599665,77.74602191642938,geometric,60000,0.005,true,0.0,2
0.7,0.25,78.24623115577889,78.24623115577889,78.04965826042005,arithmetic,60000,0.005,true,0.0,2
0.7,0.25,77.5644891122278,77.56448911222779,77.4173544834114,harmonic,60000,0.005,true,0.0,2
0.7,0.25,78.31825795644892,78.31825795644892,78.09052671571617,L^2,60000,0.005,true,0.0,2
