α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.4,0.55,89.89772594557618,89.89714940280547,89.90038006577761,geometric,60000,0.001,true,0.0,1
0.4,0.55,91.19075028780219,91.13534093812518,91.11612852671419,arithmetic,60000,0.001,true,0.0,1
0.4,0.55,89.65080000667368,89.66181107954667,89.69218103510634,harmonic,60000,0.001,true,0.0,1
0.4,0.55,91.7079600246926,91.6356070421425,91.64828982614426,L^2,60000,0.001,true,0.0,1
0.7,0.25,91.55780235914376,91.47793897983712,91.5575890555725,maximum,60000,0.001,true,0.0,1
0.9,0.0,87.11480387740461,86.98551549399045,87.01906048132233,standard,60000,0.001,true,0.0,1
0.9,0.0,40.81118507766488,41.374701122547215,80.59398147791062,p0.5,60000,0.001,true,0.0,1
0.9,0.0,59.36233044696932,58.681622814880164,59.35661882433608,SAGE_Max,60000,0.001,true,0.0,1
0.9,0.0,67.88127533910607,67.4889223621103,69.17281300275383,SAGE_GCN,60000,0.001,true,0.0,1
0.4,0.55,94.49478400427978,94.442241094619,94.50964627357982,geometric,60000,0.003,true,0.0,1
0.7,0.25,95.1601578173064,95.09209073686561,95.19590746786074,arithmetic,60000,0.003,true,0.0,1
0.4,0.55,94.39447639427578,94.35077355488573,94.40344536511851,harmonic,60000,0.003,true,0.0,1
0.7,0.25,95.3273371673131,95.2583536071038,95.36322326886642,L^2,60000,0.003,true,0.0,1
0.6,0.25,94.45131737327806,94.39325191143985,94.45246867130314,maximum,60000,0.003,true,0.0,1
0.9,0.0,92.19439614818778,92.13467626837071,92.19945468934722,standard,60000,0.003,true,0.0,1
0.9,0.0,49.82947706299318,50.6736214284638,81.52364227042165,p0.5,60000,0.003,true,0.0,1
0.9,0.0,74.27276982747091,73.81309619106162,74.4962325657406,SAGE_Max,60000,0.003,true,0.0,1
0.9,0.0,79.50882706968035,79.4082049435372,79.55494243824556,SAGE_GCN,60000,0.003,true,0.0,1
0.7,0.25,95.68640589664126,95.62281003822704,95.68344934020581,geometric,60000,0.005,true,0.0,1
0.7,0.25,96.04992042884663,95.9862623556198,96.06826712403385,arithmetic,60000,0.005,true,0.0,1
0.4,0.55,95.55239132255633,95.49413282471329,95.54687213888633,harmonic,60000,0.005,true,0.0,1
0.7,0.25,96.12195326241729,96.05891774672682,96.14389309727477,L^2,60000,0.005,true,0.0,1
0.7,0.25,95.92260658346595,95.85991932709538,95.94062034595238,maximum,60000,0.005,true,0.0,1
0.9,0.0,93.83532959209315,93.75638755715914,93.78949115249632,standard,60000,0.005,true,0.0,1
0.9,0.0,58.686657173967674,59.48843188203984,84.61934561210602,p0.5,60000,0.005,true,0.0,1
0.9,0.0,78.55599296423486,78.06021428681186,78.3719119748799,SAGE_Max,60000,0.005,true,0.0,1
0.9,0.0,86.2635061562945,86.09500369287251,86.0958958341362,SAGE_GCN,60000,0.005,true,0.0,1
0.4,0.55,95.15584873357167,95.07955909443456,95.1263958620545,geometric,60000,0.007,true,0.0,1
0.4,0.55,95.61072225858972,95.53887209854905,95.60164633687798,arithmetic,60000,0.007,true,0.0,1
0.4,0.55,95.12227873172533,95.04429332652278,95.09408778248269,harmonic,60000,0.007,true,0.0,1
0.4,0.55,95.723181764775,95.65352347227267,95.72173832316186,L^2,60000,0.007,true,0.0,1
0.4,0.55,95.70136126357487,95.63815463593829,95.6896802870974,maximum,60000,0.007,true,0.0,1
0.9,0.0,93.94061466673381,93.84329937528707,93.92101584176693,standard,60000,0.007,true,0.0,1
