α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.7,0.25,93.41681574239715,93.43842462402614,93.73985130802491,geometric,5620,0.004,true,0.0,1
0.8,0.1,93.73881932021467,93.75881205434227,93.95969462684836,arithmetic,5620,0.004,true,0.0,1
0.7,0.25,93.34525939177102,93.36829392794357,93.69728519276681,harmonic,5620,0.004,true,0.0,1
0.8,0.1,94.52593917710198,94.54417226902369,94.65976025457019,L^2,5620,0.004,true,0.0,1
0.4,0.55,96.63685152057245,96.65340685484199,96.68981577353281,maximum,5620,0.004,true,0.0,1
0.9,0.0,90.14311270125224,90.19026162815237,90.81355317546155,standard,5620,0.004,true,0.0,1
0.8,0.0,62.486583184257604,62.554380425876055,82.83927591689823,p0.5,5620,0.004,true,0.0,1
0.8,0.0,54.57960644007156,54.66301569055347,53.24141810942397,SAGE_Max,5620,0.004,true,0.0,1
0.8,0.0,56.08228980322003,56.176896076357544,58.455560679792875,SAGE_GCN,5620,0.004,true,0.0,1
0.7,0.25,95.7698512278186,95.77946186239107,96.0467127746609,geometric,5620,0.007,true,0.0,1
0.8,0.1,96.12833841190177,96.1354342259692,96.43956531962125,arithmetic,5620,0.007,true,0.0,1
0.7,0.25,95.46513712134791,95.4769707591882,95.770071815796,harmonic,5620,0.007,true,0.0,1
0.7,0.1,95.28589352930634,95.29720538644793,95.77076633309409,L^2,5620,0.007,true,0.0,1
0.6,0.1,95.17834737408137,95.1862875840055,95.5825465692273,maximum,5620,0.007,true,0.0,1
0.8,0.0,94.42552428750672,94.43379010680285,94.79149398918555,standard,5620,0.007,true,0.0,1
0.9,0.0,70.22763936189281,70.27280747405678,87.67183696448856,p0.5,5620,0.007,true,0.0,1
0.9,0.0,50.02688653880624,50.10996075141537,52.60398848725429,SAGE_Max,5620,0.007,true,0.0,1
0.9,0.0,69.09840473203083,69.1097833286235,73.12364196870148,SAGE_GCN,5620,0.007,true,0.0,1
0.7,0.25,95.59352517985612,95.60873925461209,95.63292905672076,geometric,5620,0.01,true,0.0,1
0.8,0.1,95.57553956834532,95.58835846825605,95.59127035066112,arithmetic,5620,0.01,true,0.0,1
0.4,0.55,95.89928057553956,95.91144991614733,95.936401013208,harmonic,5620,0.01,true,0.0,1
0.8,0.1,95.28776978417267,95.30072277910143,95.30294940086318,L^2,5620,0.01,true,0.0,1
0.7,0.1,94.11870503597123,94.13501760940525,94.12497240698723,maximum,5620,0.01,true,0.0,1
0.8,0.0,93.9748201438849,93.99729729294037,94.06042653263006,standard,5620,0.01,true,0.0,1
0.9,0.0,79.31654676258992,79.39599234562091,89.0860743716784,p0.5,5620,0.01,true,0.0,1
0.9,0.0,70.61151079136691,70.60657348146428,74.19383512638149,SAGE_Max,5620,0.01,true,0.0,1
0.9,0.0,78.05755395683454,78.06767876326712,79.52451274471356,SAGE_GCN,5620,0.01,true,0.0,1
0.7,0.25,96.13718411552347,96.15676680011414,96.18260413331947,geometric,5620,0.013,true,0.0,1
0.8,0.1,96.10108303249098,96.12093019388041,96.15099396447302,arithmetic,5620,0.013,true,0.0,1
0.7,0.25,96.13718411552347,96.15615469559863,96.17841441020587,harmonic,5620,0.013,true,0.0,1
0.8,0.1,96.1913357400722,96.20997312450432,96.24032435613614,L^2,5620,0.013,true,0.0,1
0.7,0.25,95.70397111913357,95.71845964837902,95.80705287492887,maximum,5620,0.013,true,0.0,1
0.9,0.0,95.81227436823104,95.82610151517308,95.92012497021523,standard,5620,0.013,true,0.0,1
0.9,0.0,90.45126353790613,90.48458635273107,91.56037395495375,p0.5,5620,0.013,true,0.0,1
0.9,0.0,75.57761732851985,75.56767661545966,76.22264044211073,SAGE_Max,5620,0.013,true,0.0,1
0.9,0.0,85.9927797833935,86.0643134412698,86.2881434353144,SAGE_GCN,5620,0.013,true,0.0,1
0.7,0.25,97.28260869565217,97.30241826613225,97.32233662563965,geometric,5620,0.017,true,0.0,1
0.8,0.1,96.97463768115942,96.99857231675237,97.05757072954769,arithmetic,5620,0.017,true,0.0,1
0.7,0.25,97.15579710144927,97.17650903147063,97.21208351880925,harmonic,5620,0.017,true,0.0,1
0.8,0.1,97.1195652173913,97.14142941924099,97.1900387205469,L^2,5620,0.017,true,0.0,1
0.7,0.25,97.15579710144927,97.17819152623652,97.21470225222883,maximum,5620,0.017,true,0.0,1
0.9,0.0,96.28623188405797,96.31347264272948,96.45682142482511,standard,5620,0.017,true,0.0,1
0.9,0.0,89.58333333333334,89.64844929334473,91.85383483357457,p0.5,5620,0.017,true,0.0,1
0.9,0.0,80.39855072463769,80.47340578055282,81.60095281270273,SAGE_Max,5620,0.017,true,0.0,1
0.9,0.0,87.86231884057972,87.86377775956133,87.79722728223847,SAGE_GCN,5620,0.017,true,0.0,1
0.4,0.55,95.4561717352415,95.47752800639081,95.55228773031894,geometric,5620,0.004,true,0.0,2
0.7,0.25,94.65116279069767,94.67234701037552,94.77363150252467,arithmetic,5620,0.004,true,0.0,2
0.4,0.55,95.52772808586762,95.54991099739449,95.62910000803194,harmonic,5620,0.004,true,0.0,2
0.8,0.1,94.3649373881932,94.38614800476695,94.49864552357636,L^2,5620,0.004,true,0.0,2
0.8,0.1,94.25760286225402,94.27474485805631,94.3933481319014,maximum,5620,0.004,true,0.0,2
0.9,0.0,95.8855098389982,95.90161525865233,95.97970100180703,standard,5620,0.004,true,0.0,2
0.9,0.0,78.28264758497316,78.3224788558032,89.10962426323874,p0.5,5620,0.004,true,0.0,2
0.9,0.0,58.3005366726297,58.253358035165824,61.78097887371713,SAGE_Max,5620,0.004,true,0.0,2
0.9,0.0,69.85688729874776,69.96785595174629,72.26398783753142,SAGE_GCN,5620,0.004,true,0.0,2
0.4,0.55,97.18587560494713,97.20675828201655,97.2679309238653,geometric,5620,0.007,true,0.0,2
0.5,0.4,97.32927047858038,97.34842580742752,97.42250088066187,arithmetic,5620,0.007,true,0.0,2
0.4,0.55,97.07832944972216,97.10104193742217,97.1454859169459,harmonic,5620,0.007,true,0.0,2
0.5,0.4,97.40096791539703,97.4182642757028,97.5295763713861,L^2,5620,0.007,true,0.0,2
0.3,0.55,97.0245563721097,97.04756111729654,97.21972262968123,maximum,5620,0.007,true,0.0,2
0.9,0.0,96.88116149847643,96.89816586297152,96.99970624955606,standard,5620,0.007,true,0.0,2
0.9,0.0,81.78885104857501,81.82864165135044,90.44406670662137,p0.5,5620,0.007,true,0.0,2
0.9,0.0,54.43627890302921,54.3985010770068,57.23326330825523,SAGE_Max,5620,0.007,true,0.0,2
0.9,0.0,70.51442910915935,70.49783210786812,74.02078415436671,SAGE_GCN,5620,0.007,true,0.0,2
0.7,0.25,96.94244604316546,96.9544056281558,96.99433579607643,geometric,5620,0.01,true,0.0,2
0.4,0.55,97.15827338129498,97.16680383034645,97.2292555975843,arithmetic,5620,0.01,true,0.0,2
0.7,0.25,96.90647482014388,96.9182031119838,96.96003961040003,harmonic,5620,0.01,true,0.0,2
0.7,0.25,96.96043165467626,96.97209235093544,97.04047021915017,L^2,5620,0.01,true,0.0,2
0.7,0.1,96.52877697841727,96.54492042878017,96.64012579732339,maximum,5620,0.01,true,0.0,2
0.9,0.0,96.22302158273382,96.2253441272978,96.34907773560754,standard,5620,0.01,true,0.0,2
0.9,0.0,86.47482014388488,86.50041525865365,91.12801504091746,p0.5,5620,0.01,true,0.0,2
0.9,0.0,63.84892086330935,63.87960704712838,67.41767386218604,SAGE_Max,5620,0.01,true,0.0,2
0.9,0.0,77.6978417266187,77.66027432092967,79.47282773399421,SAGE_GCN,5620,0.01,true,0.0,2
0.8,0.1,94.11552346570397,94.1308980162313,94.60966477080228,geometric,5620,0.013,true,0.0,2
0.4,0.55,95.14440433212997,95.15517635001403,95.22094368335313,arithmetic,5620,0.013,true,0.0,2
0.7,0.25,94.44043321299638,94.45511454870335,94.76735440164617,harmonic,5620,0.013,true,0.0,2
0.7,0.25,94.98194945848375,94.99571192842618,95.05468121727925,L^2,5620,0.013,true,0.0,2
0.4,0.55,94.96389891696751,94.9752722672088,95.01132233225832,maximum,5620,0.013,true,0.0,2
0.9,0.0,94.74729241877256,94.75649501606091,94.81389558548197,standard,5620,0.013,true,0.0,2
0.9,0.0,86.15523465703971,86.18219256907949,90.92442338001,p0.5,5620,0.013,true,0.0,2
