α,β,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial
0.4,0.55,83.86949369402303,83.86098776459579,87.82559278464224,geometric,10992,0.004,true,0.0,1
0.4,0.55,88.02778285505391,87.9378502510588,89.44990708077549,arithmetic,10992,0.004,true,0.0,1
0.4,0.55,82.33412538841162,82.36514539026312,87.77057114583096,harmonic,10992,0.004,true,0.0,1
0.4,0.55,88.74063242551637,88.64295489134632,89.8915641397546,L^2,10992,0.004,true,0.0,1
0.8,0.1,92.6887223542314,92.65477680028084,93.18807916042871,maximum,10992,0.004,true,0.0,1
0.9,0.0,88.3476512520563,88.24754725616909,88.92175033795432,standard,10992,0.004,true,0.0,1
0.9,0.0,57.082800219338324,57.42943195330375,89.01411338284247,p0.5,10992,0.004,true,0.0,1
0.9,0.0,61.195393895083164,61.064097420246014,61.28225881787978,SAGE_Max,10992,0.004,true,0.0,1
0.9,0.0,63.73606287698775,63.877556410921265,64.69417851929535,SAGE_GCN,10992,0.004,true,0.0,1
0.4,0.55,93.58269160249358,93.57750308512391,94.18806320696301,geometric,10992,0.007,true,0.0,1
0.4,0.55,94.9028236156949,94.87810457747108,95.22046198431944,arithmetic,10992,0.007,true,0.0,1
0.4,0.55,93.14264759809315,93.14396407469857,93.91296693938192,harmonic,10992,0.007,true,0.0,1
0.4,0.55,95.07700770077008,95.05296510167041,95.36173803950506,L^2,10992,0.007,true,0.0,1
0.4,0.55,95.59955995599559,95.60400359299977,95.73410970707516,maximum,10992,0.007,true,0.0,1
0.9,0.0,94.96699669966998,95.00231148823829,95.0987013172895,standard,10992,0.007,true,0.0,1
0.9,0.0,62.56875687568757,62.98763865694078,89.21851322547593,p0.5,10992,0.007,true,0.0,1
0.9,0.0,32.27906123945728,40.77471196744937,35.60099364531901,SAGE_Max,10992,0.007,true,0.0,1
0.9,0.0,75.77007700770076,75.65424699225306,76.739706107567,SAGE_GCN,10992,0.007,true,0.0,1
0.4,0.55,93.81263215960283,93.91514957520155,94.3064555741721,geometric,10992,0.01,true,0.0,1
0.4,0.55,95.1089454812908,95.1881405209341,95.24179303794298,arithmetic,10992,0.01,true,0.0,1
0.4,0.55,93.24262204652018,93.36048705891551,93.99123449478456,harmonic,10992,0.01,true,0.0,1
0.4,0.55,95.28362599981612,95.3590807333471,95.39636313237725,L^2,10992,0.01,true,0.0,1
0.4,0.55,95.74331157488278,95.80168517534445,95.79113437860778,maximum,10992,0.01,true,0.0,1
0.9,0.0,93.84940700560817,93.90115928924845,93.81372762321118,standard,10992,0.01,true,0.0,1
0.9,0.0,65.56035671600625,66.14961780776274,87.972219582372,p0.5,10992,0.01,true,0.0,1
0.9,0.0,60.71527075480372,60.766164068882134,61.65991354830659,SAGE_Max,10992,0.01,true,0.0,1
0.9,0.0,78.15574147283259,78.17298235420932,80.0790773477407,SAGE_GCN,10992,0.01,true,0.0,1
0.4,0.55,95.79607264681479,95.81685114825792,96.06642154104013,geometric,10992,0.013,true,0.0,1
0.7,0.25,96.60735687286808,96.65617989050916,96.7785678409645,arithmetic,10992,0.013,true,0.0,1
0.4,0.55,95.11385636581544,95.10972429833906,95.5490929545737,harmonic,10992,0.013,true,0.0,1
0.8,0.1,96.48750806674656,96.5350122763937,96.6841950752802,L^2,10992,0.013,true,0.0,1
0.8,0.1,96.82861620724624,96.8771585631518,96.99103210374534,maximum,10992,0.013,true,0.0,1
0.7,0.0,95.63012814603115,95.69364326376022,95.70771768947927,standard,10992,0.013,true,0.0,1
0.9,0.0,79.14630773485757,79.60358418637409,90.1810323860345,p0.5,10992,0.013,true,0.0,1
0.9,0.0,47.5891951691712,46.97435985648157,54.115308472729076,SAGE_Max,10992,0.013,true,0.0,1
0.9,0.0,79.02645892873605,78.99735930909102,80.11139458177266,SAGE_GCN,10992,0.013,true,0.0,1
0.7,0.25,95.38048509535271,95.35568039147219,95.65169550028212,geometric,10992,0.017,true,0.0,1
0.5,0.4,96.55619329753749,96.55007335077711,96.6459287357328,arithmetic,10992,0.017,true,0.0,1
0.4,0.55,95.69524162192187,95.67987267841994,95.91232180084714,harmonic,10992,0.017,true,0.0,1
0.4,0.55,97.00055545269394,96.99585876376877,97.09652487585963,L^2,10992,0.017,true,0.0,1
0.4,0.55,96.71357156082206,96.70704397982665,96.80293335988776,maximum,10992,0.017,true,0.0,1
0.9,0.0,96.2969820403629,96.27927747961662,96.35050741156739,standard,10992,0.017,true,0.0,1
0.9,0.0,77.26346972782818,77.77704296456469,89.99036095031923,p0.5,10992,0.017,true,0.0,1
0.9,0.0,82.9846324754675,82.90134607614817,84.08536840945658,SAGE_Max,10992,0.017,true,0.0,1
0.9,0.0,83.4937974449176,83.42999912582924,84.3703017575126,SAGE_GCN,10992,0.017,true,0.0,1
0.4,0.55,83.62273807347835,83.73208037372943,91.93065938160633,geometric,10992,0.004,true,0.0,2
0.7,0.25,86.43757996709925,86.51252956925146,92.2053377228847,arithmetic,10992,0.004,true,0.0,2
0.4,0.55,82.15134344726741,82.28288870392198,91.80704482918557,harmonic,10992,0.004,true,0.0,2
0.8,0.1,85.41400109669165,85.50795710611345,92.12289352055288,L^2,10992,0.004,true,0.0,2
0.8,0.1,93.03600804240541,93.10967912342676,93.60281968700912,maximum,10992,0.004,true,0.0,2
0.8,0.0,88.84116249314567,88.9231472004543,89.56427881704414,standard,10992,0.004,true,0.0,2
0.9,0.0,48.11734600621458,48.379892876305924,88.96669312157728,p0.5,10992,0.004,true,0.0,2
0.9,0.0,42.45110583074393,41.995397459405304,43.921420351018284,SAGE_Max,10992,0.004,true,0.0,2
0.9,0.0,61.36903673917017,61.25968276807654,61.51478850445441,SAGE_GCN,10992,0.004,true,0.0,2
0.4,0.55,92.62926292629263,92.58555336339876,93.38264603756778,geometric,10992,0.007,true,0.0,2
0.7,0.25,93.58269160249358,93.52682636365715,94.04473555260783,arithmetic,10992,0.007,true,0.0,2
0.4,0.55,92.41840850751741,92.37540393166384,93.32659335596132,harmonic,10992,0.007,true,0.0,2
0.7,0.25,94.06857352401907,94.02056995231845,94.45727887315122,L^2,10992,0.007,true,0.0,2
0.7,0.25,94.71030436376971,94.68843739082911,95.01887697511486,maximum,10992,0.007,true,0.0,2
0.9,0.0,92.95929592959295,92.94407910729659,93.42356568229387,standard,10992,0.007,true,0.0,2
0.9,0.0,62.14704803813714,62.648906074241054,89.35068947680043,p0.5,10992,0.007,true,0.0,2
0.9,0.0,62.119545287862124,62.22560932920537,66.33178830805603,SAGE_Max,10992,0.007,true,0.0,2
0.9,0.0,73.8907224055739,73.73125248608015,73.67941384458068,SAGE_GCN,10992,0.007,true,0.0,2
0.4,0.55,94.63087248322147,94.6159918157719,94.85007176986674,geometric,10992,0.01,true,0.0,2
0.4,0.55,95.4399190953388,95.45054081020442,95.6212716180868,arithmetic,10992,0.01,true,0.0,2
0.7,0.25,93.96892525512548,93.97584366170081,94.73580050944246,harmonic,10992,0.01,true,0.0,2
0.7,0.25,95.79847384389078,95.81088062095941,95.90481017525188,L^2,10992,0.01,true,0.0,2
0.7,0.25,95.93637951641078,95.96857368944794,96.09604561988832,maximum,10992,0.01,true,0.0,2
0.8,0.0,94.19876804265883,94.21829751661468,94.52342872966551,standard,10992,0.01,true,0.0,2
0.9,0.0,66.17633538659557,66.69811064694157,89.70569715323265,p0.5,10992,0.01,true,0.0,2
0.9,0.0,54.50032177990255,54.27074000734733,57.994666249955664,SAGE_Max,10992,0.01,true,0.0,2
0.9,0.0,74.98391100487267,74.85644122251955,76.62897449568914,SAGE_GCN,10992,0.01,true,0.0,2
