lambda,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial,maxiter
4,61.6282949616283,61.6282949616283,64.378591651114,HTV,60000,0.001,true,0,1,10
4,69.1390839184219,69.1390839184219,70.0043809943214,HTV,60000,0.003,true,0,1,10
4,70.1591289782245,70.1591289782245,70.5656903700726,HTV,60000,0.005,true,0,1,10
4,71.8059751594495,71.8059751594495,71.9645419996777,HTV,60000,0.007,true,0,1,10
4,58.1531531531532,58.1531531531532,60.2826237259979,HTV,60000,0.001,true,0,2,10
4,65.5984620528251,65.5984620528251,66.6613257560025,HTV,60000,0.003,true,0,2,10
4,70.7236180904523,70.7236180904523,70.8716965818973,HTV,60000,0.005,true,0,2,10
4,72.4739845585767,72.4739845585767,72.7063954140963,HTV,60000,0.007,true,0,2,10
4,56.6266266266266,56.6266266266266,61.7895601763542,HTV,60000,0.001,true,0,3,10
4,70.8976930792377,70.8976930792377,71.4924262393421,HTV,60000,0.003,true,0,3,10
4,69.8793969849246,69.8793969849246,70.5987020879489,HTV,60000,0.005,true,0,3,10
4,72.7526015441423,72.7526015441423,72.9528274251536,HTV,60000,0.007,true,0,3,10
4,61.8018018018018,61.8018018018018,65.850307659169,HTV,60000,0.001,true,0,4,10
1,68.834837846874,68.834837846874,70.1606977016987,HTV,60000,0.003,true,0,4,10
1,70.4824120603015,70.4824120603015,71.5376522356002,HTV,60000,0.005,true,0,4,10
1,71.4736488754616,71.4736488754616,72.1695624103407,HTV,60000,0.007,true,0,4,10
4,60.8248115018012,60.8248115018012,63.850307659169,HTV,60000,0.001,true,0,5,10
4,68.435327191874,68.435327191874,70.1615978306987,HTV,60000,0.003,true,0,5,10
4,69.7824210612017,69.7824210612017,70.5272752356102,HTV,60000,0.005,true,0,5,10
4,71.2835988754116,71.2835988754116,72.1682124100567,HTV,60000,0.007,true,0,5,10
