lambda,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial,maxiter
4.0,83.80903131099137,83.671136191472,84.01443616557327,HTV,60000,0.001,true,0.0,1,10
1.0,88.3228027947715,88.17329080057526,88.39106983329049,HTV,60000,0.003,true,0.0,1,10
2.3333333333333335,90.70094631940373,90.5965470848431,90.79164874716777,HTV,60000,0.005,true,0.0,1,10
4.0,90.12704113313306,90.01161111010994,90.32735453383643,HTV,60000,0.007,true,0.0,1,10
4.0,75.26982167581363,75.50674123527733,76.05595185903363,HTV,60000,0.001,true,0.0,2,10
4.0,89.06495503627185,88.95874820517007,89.08303692240726,HTV,60000,0.003,true,0.0,2,10
2.3333333333333335,89.7646763252659,89.69130720248356,89.93563606611492,HTV,60000,0.005,true,0.0,2,10
2.3333333333333335,90.70267004547972,90.57793799919777,90.80090685072297,HTV,60000,0.007,true,0.0,2,10
4.0,77.62523562480192,77.79025474456897,80.27990680900847,HTV,60000,0.001,true,0.0,3,10
4.0,87.72941530438271,87.6898737744187,87.97653081253355,HTV,60000,0.003,true,0.0,3,10
4.0,89.14663763503894,89.12700629217076,89.27323426639238,HTV,60000,0.005,true,0.0,3,10
1.4999999999999998,90.85874435699061,90.72281387908802,90.89490387184152,HTV,60000,0.007,true,0.0,3,10
4.0,82.08083807363171,82.00321339658446,82.71212850560823,HTV,60000,0.001,true,0.0,4,10
4.0,89.25885066693411,89.27538861496863,89.35155824230719,HTV,60000,0.003,true,0.0,4,10
4.0,90.92203333054184,90.8497300124299,90.93890146871365,HTV,60000,0.005,true,0.0,4,10
1.4999999999999998,91.05173947337506,90.95420005084614,91.07297267675504,HTV,60000,0.007,true,0.0,4,10
4.0,79.88222930255058,79.87031917923481,81.2268075762811,HTV,60000,0.001,true,0.0,5,10
2.3333333333333335,87.21793200280814,87.13573310516844,87.56584224451697,HTV,60000,0.003,true,0.0,5,10
