lambda,acc,rec,prec,method_name,size,percentage_of_known_labels,balanced,noise,trial,maxiter
4,77.8928571428571,78.0389484341666,79.2977680641399,HTV,5620,0.004,true,0,1,10
4,89.5687958489891,89.5805028721028,90.0345653252,HTV,5620,0.007,true,0,1,10
4,93.7342908438061,93.7649680317395,93.9210879637403,HTV,5620,0.01,true,0,1,10
4,95.9099099099099,95.9207575953693,95.950135783057,HTV,5620,0.013,true,0,1,10
4,90.5535714285714,91.6097704220459,91.6324081195721,HTV,5620,0.004,true,0,2,10
9,92.5747003041689,92.6513804000001,93.1029478440254,HTV,5620,0.007,true,0,2,10
9,92.9622980251346,92.9848054464557,93.1717403485657,HTV,5620,0.01,true,0,2,10
2.33333333333333,93.963963963964,93.9706589268675,94.1263219944815,HTV,5620,0.013,true,0,2,10
4,89.9464285714286,89.9980614067007,90.2867227109481,HTV,5620,0.004,true,0,3,10
4,92.9504383610664,92.9623195703729,93.5907651783706,HTV,5620,0.007,true,0,3,10
4,93.0341113105925,93.0611369682424,93.1360638053047,HTV,5620,0.01,true,0,3,10
4,95.1351351351351,95.1597904497067,95.1468331137134,HTV,5620,0.013,true,0,3,10
4,88.625,88.7133200814192,89.9717100694458,HTV,5620,0.004,true,0,4,10
4,92.4315619967794,92.4915446806345,92.9736941762227,HTV,5620,0.007,true,0,4,10
4,92.4955116696589,92.481685481816,92.8836182246724,HTV,5620,0.01,true,0,4,10
4,91.981981981982,92.0439976899049,92.3378084773656,HTV,5620,0.013,true,0,4,10
4,88.1785714285714,88.2137684377636,88.4746014967464,HTV,5620,0.004,true,0,5,10
4,86.8133834317409,86.8058868066676,88.6506310761928,HTV,5620,0.007,true,0,5,10
4,94.1831238779174,94.1768555122786,94.3581616722619,HTV,5620,0.01,true,0,5,10
4,93.2792792792793,93.3077309700049,93.3488903858504,HTV,5620,0.013,true,0,5,10
